dropoffLocationID,avgTripTimes,sum(total_amount)
157,2022.0,120.85
158,2022.0,733.7800000000001
159,2022.0,198.77
16,2022.0,39.55
160,2022.0,157.76
161,2022.0,3422.279999999998
162,2022.0,3199.7699999999986
163,2022.0,4264.989999999998
164,2022.0,3446.2699999999986
165,2022.0,397.62000000000006
166,2022.0,949.98
168,2022.0,187.79999999999998
169,2022.0,65.6
17,2022.0,713.5899999999999
170,2022.0,2747.749999999999
171,2022.0,164.95999999999998
175,2022.0,163.2
177,2022.0,60.1
178,2022.0,54.05
179,2022.0,319.64
18,2022.0,249.82
